SEP=	
Simbol	Cotatie	Capitalizare	MedieZilnicaTranz	VarYoY	VarYTD	BET_YTD	BET_YoY	VariatieCA	VariatieProfitNet	PE	PBV	GradIndatorare	CapitNetpeAct	ROE	ROA	MarjaOperationala	MarjaNeta	DataURap	PS	PAvgProfit	PBVxPE	PretNWCPS	nume	RandDividendHist	RandDividend	capmln
AUXI	22	2040742		0	0	-28.509616941650616	-81.625651239007			5.02069545792268	0.19921786607860192	12.430423195208972	49.64154116492923	3.967933680666395	3.4747027320543307	2.2453211955853165	3.7315312767953706	2025-12-31	0.18734882132502934		1.0002122353578855	0.44317721576989566	ATM - CONSTRUCT SA PLOIESTI	49.54545454545455	49.54545454545455	2.040742
AVIO	2.5	98457530	5340.800171673815	-14.383561643835618	-6.7164179104477695	-35.22603485209839	-96.00921288284262				1.1256370767219455	75.87296612768397	-0.5183563410538534	-23.21275422018169	-5.600549073400709		-86.89380484654406	2025-12-31	4.213670103294855				AVIOANE SA CRAIOVA			98.45753
AVSL	47.6	120751727.60000001	4878.64126984127	207.0967741935484	25.263157894736853	-3.2464590469137633	125.47112295454141			6.618028149592371	1.9005283157039754	32.72924849476948	13.04759222343416	28.717440795730614	19.318438236357636	16.33091384111364	13.090955778946894	2025-12-31	0.8663631385013948		12.577749892426286	3.6481826826644617	AVICOLA SA SLOBOZIA	11.317241379310344	4.207692307692308	120.75172760000001
BADE	2.22	3058938.0000000005		1607.6923076923076	1607.6923076923076	1579.182690750657	1526.0666564533005			480.2854451248234	3.871872472441304	4.546953816413447	0.08419333768778577	0.8061606929260633	0.7695049385326366	8.637035630484613	8.638391948893922	2025-12-31	41.488939223372086		1859.6039938930223	26.36788207913111	BAD SA SUCEAVA			3.0589380000000004
BALN	0.132	20922000	142.28235135135137	-0.7518796992481258	-19.512195121951216	-48.02181206360183	-82.37753093825512				1.6108651243465917	38.430497848204766	-0.0494846309148265	-10.774610388070514	-6.633873974730628		-14.643152857027905	2025-12-31	2.1892340788469573				TRATAMENT BALNEAR BUZIAS SA BUZIAS			20.922
BBGA	2.18	178947922.54000002	955.0123809523811	-0.909090909090915	17.83783783783783	-10.671779103812785	-82.53474214809792				6.576772259113502	73.82593719347726	0.5427321446455502	-288.871464966842	-75.60939867054353		-266.57069580042446	2025-12-31	6.069047897943308			4.016714361784714	ALUM SA Tulcea			178.94792254
BCM	0.139	22562398.268000003	15072.25256349207	-10.322580645161283	-17.751479289940832	-46.26109623159145	-91.94823188416828	-100		18.19652437196001	0.5547704639733818	0.29844919774035455	0.24785306023656617	1.5179351492515927	1.5050313362741965		1481.6721661490683	2025-12-31	2575.9102943258367	585.2357364298191	10.094894268535205	0.5608161540040292	CASA DE BUCOVINA-CLUB DE MUNTE			22.562398268000003
BENTO	8.04	112560482.39999999	66993.75643724695	0.7518796992481036	13.239436619718315	-15.270180321932301	-80.87377153975889	71.36615235553481	452.16669918005914	12.991977857406265	2.281112893791486	33.61335895795548	0.5957267325997174	13.767530605751372	9.094717691546904	14.504185029159705	15.198786604864814	2025-12-31	2.3088604148891156	33.62314490758603	29.636168206382916	13.496120889042361	2B Intelligent Soft S.A.			112.5604824
BIBU	7.35	39812642.1	216.371875	61.89427312775329	155.20833333333334	126.69871639168272	-19.73137811125371			48.53365447208982	0.5484543155751268	23.89960634137361	-2.914580797188539	1.130049491514235	0.8599721115796386	14.334676374148966	13.897609260848661	2025-12-31	6.745017658541445		26.618492245849716		BTT SA BUCURESTI			39.812642100000005
BIO	1.37	1349964229.5	156061.45915853666	58.56481481481484	69.1358024691358	40.62618552748518	-23.06083642419216	-2.7231238810001446	0.6383915213914237	13.387246719968228	2.3239996832321714	14.16512844629007	0.32231089401617363	18.35206921414489	15.801146525897675	33.15779399119573	31.513398222119825	2025-12-31	4.261983400814368	47.38040475286018	31.111957136557088	4.2505544349712645	BIOFARM S.A.	3.5227272727272725	2.2962962962962963	1349.9642295
